China	were	among_those
those	paid	the_most_in_the_college_admissions_scandal
One_Chinese_family	paid	$_6.5_million
California	has	admitted
California	admitted	to_masterminding_the_scheme
California	masterminding	the_scheme
California	according	to_a_person_familiar_with_the_matter
Another	was	a_student
a_student	referred	to_in_court_filings
Yale_Applicant	paid	$_1.2_million
$_1.2_million	secure	Ms._Guo
Ms._Guo	had	Ms._Guo
a_student	is	21-year_-_old_Sherry_Guo
21-year_-_old_Sherry_Guo	moved	to_Southern_California
21-year_-_old_Sherry_Guo	attend	high_school
Ms._Guo	learned	English
English	arriving	California
Ms._Guo	attended	Serra_Catholic_High_School
south_of_Los_Angeles	starting	high_school
A_growing_number_of_Chinese_families	growing	A_growing_number_of_Chinese_families
A_growing_number_of_Chinese_families	are	A_growing_number_of_Chinese_families
A_growing_number_of_Chinese_families	bringing	their_children
Colleges	scrutinize	foreign_agents_who_help_coordinate_applications_from_overseas_students
foreign_agents	help	coordinate_applications_from_overseas_students
foreign_agents	coordinate	applications
the_role_of_U.S.	based	independent_college_counselors
those	is	domestic
